Compound,CircuitKey,Era,pool_level,b,c,b_ci,c_ci,r2,n_stints,n_laps,temp_ref,b_temp,c_temp
HARD,French Grand Prix,0,circuit,0.010069930278381312,0.0004984230763497499,0.015379217066207145,0.0005081873691212498,0.1535,22,482,55.45,0.0024169566763642255,-4.998900411653055e-05
HARD,Hungarian Grand Prix,0,circuit,0.050385236876437346,0.0002656492733313534,0.008044961649756644,0.00025526553912376805,0.2482,91,2519,40.57,0.0024169566763642255,-4.998900411653055e-05
HARD,Italian Grand Prix,0,circuit,0.023250459795986975,-0.00012099216814405294,0.009515350128282932,0.0002966968005096311,0.0303,75,1919,45.6,0.0024169566763642255,-4.998900411653055e-05
HARD,Japanese Grand Prix,0,circuit,0.10488301274619476,-0.002916251083247859,0.014831295078055844,0.0005920047402473385,0.0417,68,1445,33.47,0.0024169566763642255,-4.998900411653055e-05
HARD,Japanese Grand Prix,1,circuit,-0.05752516847104111,0.0016907308049028803,0.020525380070189603,0.000651372573063359,0.0207,19,490,34.45,0.004586303527001297,-2.236163259440758e-05
HARD,Las Vegas Grand Prix,0,circuit,-0.025515443782918413,0.0005513858841702232,0.012251605452696993,0.00043387552098594895,-0.0128,84,1705,17.69,0.0024169566763642255,-4.998900411653055e-05
HARD,Mexico City Grand Prix,0,circuit,0.026600118649727923,0.00035841124931429506,0.00790726574684857,0.00021494548649433974,0.2206,47,1371,41.03,0.0024169566763642255,-4.998900411653055e-05
HARD,Miami Grand Prix,0,circuit,-0.0006604866559127777,0.00040550872870868823,0.007058334318840375,0.00020508165278004838,0.0452,75,2002,39.59,0.0024169566763642255,-4.998900411653055e-05
HARD,Miami Grand Prix,1,circuit,0.07831935082151652,-0.0006328352355500372,0.011728582644338903,0.00036644619715043875,0.2762,15,413,36.75,0.004586303527001297,-2.236163259440758e-05
HARD,Monaco Grand Prix,0,circuit,0.013208830209648331,-0.0005483809863307361,0.011197168005390707,0.0002049986782710028,0.0137,61,2248,42.45,0.0024169566763642255,-4.998900411653055e-05
HARD,Monaco Grand Prix,1,circuit,0.04734356121355829,0.0012509347772144293,0.03963313360514574,0.001164801501763411,0.2035,12,322,37.4,0.004586303527001297,-2.236163259440758e-05
HARD,Qatar Grand Prix,0,circuit,-0.10111174188579979,0.008936128903473025,0.06437772371064295,0.00395218750968369,0.1128,25,365,37.1,0.0024169566763642255,-4.998900411653055e-05
HARD,Saudi Arabian Grand Prix,0,circuit,-0.05308080483369113,0.000913211149808206,0.009690934473343387,0.0002792722000961451,0.0295,69,2006,32.78,0.0024169566763642255,-4.998900411653055e-05
HARD,Singapore Grand Prix,0,circuit,0.01416761996572303,0.0008379601737826041,0.013444909809528905,0.000398656700086637,0.1656,48,1463,35.56,0.0024169566763642255,-4.998900411653055e-05
HARD,Spanish Grand Prix,0,circuit,0.08379041498583358,-0.00021516833454875256,0.013347631914038777,0.00048239030241652506,0.2528,37,908,36.1,0.0024169566763642255,-4.998900411653055e-05
HARD,São Paulo Grand Prix,0,era,0.05141375479886418,-0.0009102181274707521,0.0020360687554636238,5.350507789433034e-05,0.042,1357,33631,33.92,0.0024169566763642255,-4.998900411653055e-05
HARD,United States Grand Prix,0,circuit,0.038312109642569994,-0.0009503022573738251,0.009999867636638776,0.0003509329527347077,0.0227,69,1446,41.38,0.0024169566763642255,-4.998900411653055e-05
INTERMEDIATE,Australian Grand Prix,0,circuit,-0.35461561448439977,0.0032963995292709164,0.0433232419600702,0.0013236701490560634,0.6039,31,515,19.0,-0.009999999999999998,0.0002909323362447893
INTERMEDIATE,British Grand Prix,0,circuit,0.06180600477937652,-0.005533578993306044,0.04600916159431812,0.0016222780888071656,0.2805,39,493,24.37,-0.009999999999999998,0.0002909323362447893
