seed,mdp_time_s,ppo_time_s,mdp_finish,ppo_finish,mdp_legal,ppo_legal,ppo_minus_mdp_time_s
10142,5260.121613706427,5272.2061193305735,2.0,2.0,1.0,1.0,12.084505624146914
10143,5279.888952510241,5264.386079440071,3.0,3.0,1.0,1.0,-15.502873070170608
10144,5344.994711023524,5323.905668618359,4.0,3.0,1.0,1.0,-21.089042405164946
10145,5295.013638937194,5287.626972614171,3.0,3.0,1.0,1.0,-7.386666323022837
10146,5253.902350420598,5258.354589743839,2.0,2.0,1.0,1.0,4.452239323240974
10147,5268.293553807893,5247.41274381482,2.0,2.0,1.0,1.0,-20.880809993072944
10148,5240.883597833722,5249.482396951277,2.0,2.0,1.0,1.0,8.598799117555245
10149,5281.939679973047,5276.725744548899,3.0,3.0,1.0,1.0,-5.213935424148076
10150,5256.326437395587,5255.882397106549,3.0,3.0,1.0,1.0,-0.44404028903772996
10151,5247.272894195719,5246.625467750175,2.0,2.0,1.0,1.0,-0.6474264455446246
10152,5342.299538240275,5341.895639399847,5.0,5.0,1.0,1.0,-0.4038988404281554
10153,5283.037362450703,5288.58318302074,4.0,3.0,1.0,1.0,5.5458205700369945
10154,5248.241493996961,5252.195325295716,2.0,2.0,1.0,1.0,3.9538312987551762
10155,5276.805264825512,5268.7190522158735,3.0,3.0,1.0,1.0,-8.086212609638096
10156,5266.734940957578,5259.625520189047,3.0,3.0,1.0,1.0,-7.109420768530981
10157,5274.387181273041,5272.04870473309,3.0,3.0,1.0,1.0,-2.3384765399514436
10158,5290.795167678095,5302.0545907939995,3.0,3.0,1.0,1.0,11.25942311590461
10159,5302.081350997225,5287.1704789812475,3.0,3.0,1.0,1.0,-14.910872015977475
10160,5274.8511302351,5267.7268227825725,3.0,3.0,1.0,1.0,-7.124307452527319
10161,5350.7271383674,5375.495054969011,5.0,6.0,1.0,1.0,24.767916601611432
10162,5247.676415056519,5246.75414907263,2.0,2.0,1.0,1.0,-0.9222659838887921
10163,5250.667123464563,5285.119495015047,2.0,2.0,1.0,1.0,34.452371550483804
10164,5256.6982358783,5258.031640973348,3.0,2.0,1.0,1.0,1.333405095047965
10165,5255.327011814623,5264.644573785278,2.0,2.0,1.0,1.0,9.317561970655333
10166,5274.487334546447,5273.582963895603,3.0,3.0,1.0,1.0,-0.9043706508437026
10167,5285.331895381739,5265.2401213465655,3.0,3.0,1.0,1.0,-20.09177403517333
10168,5231.426345096026,5289.604257890427,1.0,2.0,1.0,1.0,58.17791279440098
10169,5288.743170847807,5280.795389129423,3.0,3.0,1.0,1.0,-7.947781718384249
10170,5255.482288791966,5254.215089782292,2.0,2.0,1.0,1.0,-1.2671990096741865
10171,5251.576871524598,5279.217416136317,1.0,2.0,1.0,1.0,27.640544611719633
10172,5268.375392182059,5285.871274988917,2.0,3.0,1.0,1.0,17.49588280685839
10173,5248.689860499295,5236.9846477512765,2.0,1.0,1.0,1.0,-11.705212748018312
10174,5278.321265219586,5265.498838253806,3.0,3.0,1.0,1.0,-12.822426965780323
10175,5256.249006012714,5255.10807311733,1.0,2.0,1.0,1.0,-1.1409328953841396
10176,5267.489732051383,5262.938079870826,2.0,2.0,1.0,1.0,-4.55165218055663
10177,5340.3608272562215,5349.574019815224,5.0,4.0,1.0,1.0,9.213192559002891
10178,5293.050917641469,5334.84885748441,4.0,4.0,1.0,1.0,41.79793984294065
10179,5270.773438413769,5286.802870605528,2.0,3.0,1.0,1.0,16.029432191759042
10180,5251.659230966063,5247.109281300945,2.0,2.0,1.0,1.0,-4.54994966511731
10181,5314.07905122214,5333.2732415094315,4.0,4.0,1.0,1.0,19.19419028729135
10182,5265.165632772774,5264.834682767106,3.0,3.0,1.0,1.0,-0.33095000566845556
10183,5267.766511389503,5248.341210887926,1.0,1.0,1.0,1.0,-19.425300501577112
10184,5260.11295099039,5258.467806088988,1.0,2.0,1.0,1.0,-1.645144901402091
10185,5245.409198077603,5256.283119141423,1.0,1.0,1.0,1.0,10.87392106382049
10186,5289.775072652268,5289.775072652268,3.0,3.0,1.0,1.0,0.0
10187,5278.1295536016905,5269.85399934926,3.0,3.0,1.0,1.0,-8.275554252430084
10188,5276.725109989769,5246.408737878581,3.0,2.0,1.0,1.0,-30.316372111188684
10189,5268.573227787132,5268.756885324532,2.0,2.0,1.0,1.0,0.1836575373999949
10190,5249.060238708513,5253.007143520303,2.0,1.0,1.0,1.0,3.9469048117898637
10191,5264.35863810261,5263.145151678044,3.0,3.0,1.0,1.0,-1.213486424565417
10192,5261.56343459144,5260.80258100372,2.0,2.0,1.0,1.0,-0.7608535877197937
10193,5268.911323045835,5258.454051990134,3.0,3.0,1.0,1.0,-10.457271055701312
10194,5262.787860532231,5265.4256255326445,2.0,2.0,1.0,1.0,2.63776500041331
10195,5251.4415816099645,5257.35046426392,2.0,2.0,1.0,1.0,5.908882653955516
10196,5278.132918738504,5271.820361804104,3.0,2.0,1.0,1.0,-6.312556934399254
