seed,mdp_time_s,ppo_time_s,mdp_finish,ppo_finish,mdp_legal,ppo_legal,ppo_minus_mdp_time_s
10111,5266.9178453316545,5266.829202358871,3.0,3.0,1.0,1.0,-0.08864297278341837
10112,5279.332448335484,5274.298310607061,2.0,2.0,1.0,1.0,-5.0341377284230475
10113,5330.418536270043,5335.178181408367,3.0,3.0,1.0,1.0,4.759645138324231
10114,5313.866184281997,5266.650014507176,3.0,3.0,1.0,1.0,-47.21616977482154
10115,5238.918483100016,5311.516473950563,1.0,3.0,1.0,1.0,72.59799085054692
10116,5274.274758206522,5278.149704382413,3.0,3.0,1.0,1.0,3.8749461758907273
10117,5254.701822132053,5256.932526676544,2.0,2.0,1.0,1.0,2.230704544490436
10118,5239.477188457715,5237.999633160832,2.0,2.0,1.0,1.0,-1.4775552968831107
10119,5280.071075716245,5282.760757320199,4.0,4.0,1.0,1.0,2.689681603954341
10120,5279.025127660977,5271.92346109116,3.0,2.0,1.0,1.0,-7.101666569817098
10121,5254.8592206824205,5267.399873155371,2.0,2.0,1.0,1.0,12.540652472950569
10122,5290.045673349845,5289.592139040393,3.0,3.0,1.0,1.0,-0.45353430945215223
10123,5279.989567183203,5276.179295676664,3.0,3.0,1.0,1.0,-3.810271506538811
10124,5256.956287710376,5269.984628332246,3.0,3.0,1.0,1.0,13.028340621869575
10125,5310.199613550848,5320.465905546362,4.0,4.0,1.0,1.0,10.266291995513711
10126,5244.764730530837,5246.29243268113,2.0,3.0,1.0,1.0,1.5277021502924981
10127,5252.811076328926,5256.915022722915,2.0,2.0,1.0,1.0,4.1039463939887355
10128,5258.230174537945,5275.4420156288215,1.0,1.0,1.0,1.0,17.211841090876987
10129,5246.679753114235,5237.156676276693,1.0,1.0,1.0,1.0,-9.523076837541339
10130,5271.516441774539,5268.818570004267,3.0,3.0,1.0,1.0,-2.697871770272286
10131,5262.404902538783,5272.671111769166,2.0,1.0,1.0,1.0,10.266209230382628
10132,5299.028115145122,5283.514165674424,3.0,3.0,1.0,1.0,-15.513949470698208
10133,5248.879774534471,5291.81145224229,2.0,3.0,1.0,1.0,42.93167770781929
10134,5298.463496354963,5301.575364993679,3.0,3.0,1.0,1.0,3.1118686387153502
10135,5271.621055798905,5250.692437568189,2.0,2.0,1.0,1.0,-20.928618230715983
10136,5253.403777125654,5257.545759802861,2.0,2.0,1.0,1.0,4.141982677206215
10137,5254.098936791897,5248.310744325137,2.0,2.0,1.0,1.0,-5.788192466759938
10138,5346.3136004379085,5313.723256171598,5.0,4.0,1.0,1.0,-32.59034426631024
10139,5275.95156676815,5269.226623308539,3.0,3.0,1.0,1.0,-6.724943459610586
10140,5285.901087581834,5280.829147380978,3.0,3.0,1.0,1.0,-5.071940200856261
10141,5290.950040781324,5261.64486697015,3.0,2.0,1.0,1.0,-29.305173811173518
10142,5260.121613706427,5257.323608741204,2.0,2.0,1.0,1.0,-2.7980049652223897
10143,5279.888952510241,5266.214137272716,3.0,3.0,1.0,1.0,-13.674815237525763
10144,5344.994711023524,5295.656062178841,4.0,3.0,1.0,1.0,-49.33864884468312
10145,5295.013638937194,5284.530132463137,3.0,3.0,1.0,1.0,-10.483506474056412
10146,5253.902350420598,5258.164708544453,2.0,1.0,1.0,1.0,4.262358123854938
